sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
24-MB01,,Bag,simple,"Default Category/Gear,Default Category/Gear/Bags","base,hhat",Joust Duffle Bag(s),"<p>The sporty(s) Joust Duffle Bag can't be beat - not in the gym, not on the luggage carousel, not anywhere. Big enough to haul a basketball or soccer ball and some sneakers with plenty of room to spare, it's ideal for athletes with places to go.<p>
<ul>
<li>Dual top handles.</li>
<li>Adjustable shoulder strap.</li>
<li>Full-length zipper.</li>
<li>L 29"" x W 13"" x H 11"".</li>
</ul>",,,1,Taxable Goods,"Catalog, Search",36,33,,,,,,,/m/b/mb01-blue-0.jpg,,/m/b/mb01-blue-0.jpg,,/m/b/mb01-blue-0.jpg,,,,"10/21/16, 9:10 AM","10/21/16, 9:10 AM",,,Block after Info Column,,,,,,,,,,,,,"activity=Gym|Hiking|Trail|Urban,erin_recommends=Yes,features_bags=Audio Pocket|Waterproof|Lightweight|Laptop Sleeve,material=Canvas|Cotton|Mesh|Polyester,sale=Yes,strap_bags=Adjustable|Cross Body|Padded|Shoulder|Single,style_bags=Messenger|Exercise|Tote",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,0,1,,,,,,,/m/b/mb01-blue-0.jpg,Image,,,,,,,,,,
24-MB01,at,Bag,simple,,,Joust Duffle Bag(s),"<p>The sporty(at) Joust Duffle Bag can't be beat - not in the gym, not on the luggage carousel, not anywhere. Big enough to haul a basketball or soccer ball and some sneakers with plenty of room to spare, it's ideal for athletes with places to go.<p>
<ul>
<li>Dual top handles.</li>
<li>Adjustable shoulder strap.</li>
<li>Full-length zipper.</li>
<li>L 29"" x W 13"" x H 11"".</li>
</ul>",,,1,Taxable Goods,"Catalog, Search",36,33,,,,,,,/m/b/mb01-blue-0.jpg,,/m/b/mb01-blue-0.jpg,,/m/b/mb01-blue-0.jpg,,,,"10/21/16, 9:10 AM","10/21/16, 9:10 AM",,,Block after Info Column,,,,,,,,,,,,,"activity=Gym|Hiking|Trail|Urban,erin_recommends=Yes,features_bags=Audio Pocket|Waterproof|Lightweight|Laptop Sleeve,material=Canvas|Cotton|Mesh|Polyester,sale=Yes,strap_bags=Adjustable|Cross Body|Padded|Shoulder|Single,style_bags=Messenger|Exercise|Tote",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,0,1,,,,,,,/m/b/mb01-blue-0.jpg,Image,,,,,,,,,,
24-WB03,,Bag,simple,"Default Category/Gear,Default Category/Gear/Bags",base,Driven Backpack,"<p>School books, camp gear and yoga clothes get along just fine in the all-purpose Driven Backpack. Crafted with tough polyester ripstop fabric, it's outfitted with rubberized end panels and padded, adjustable shoulder straps. The roomy main compartment features molded foam pockets that host everything you need.</p>
<ul>
<li>Large main and small zip compartments.</li>
<li>Adjustable, padded straps.</li>
<li>Interior foam pockets.</li>
<li>Exterior zip compartment.</li>
<li>Left sport bottle pocket.</li>
<li>Survival gear sold separately.</li>
</ul>",,,1,Taxable Goods,"Catalog, Search",36,,,,Driven-backpack-new,,,,/w/b/wb03-purple-0.jpg,,/w/b/wb03-purple-0.jpg,,/w/b/wb03-purple-0.jpg,,,,"10/21/16, 9:10 AM","10/21/16, 9:10 AM",,,Block after Info Column,,,,,,,,,,,,,"activity=Yoga|Gym|School,features_bags=Hydration Pocket|Audio Pocket|Lightweight|Laptop Sleeve,material=Mesh|Nylon|Polyester,strap_bags=Adjustable|Double|Padded,style_bags=Backpack|Laptop|Exercise",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,0,1,,,,,,,/w/b/wb03-purple-0.jpg,Image,,,,,,,,,,
MT12-XS-Blue,,Top,simple,Default Category/Men/Tops/Tanks,base,Cassius Sparring Tank-XS-Blue,"<p>Whether you're up against a partner or the clock, the Cassius Sparring Tank is in your corner, moving effortless with your body. The light and loose feel gives you no reason to give up before the bell or the end of the block.</p>
<p>&bull; Royal crewneck cotton tank.<br />&bull; Contrast stitching.<br />&bull; Self fabric binding at neckline.<br />&bull; Slim fit.<br />&bull; 96% Merino / 4% LYCRA&reg;.</p>",,1,1,Taxable Goods,Not Visible Individually,18,,,,cassius-sparring-tank-xs-blue,,,,/m/t/mt12-blue_main.jpg,,/m/t/mt12-blue_main.jpg,,/m/t/mt12-blue_main.jpg,,,,"10/21/16, 9:10 AM","10/21/16, 9:10 AM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Blue,size=XS",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,0,1,,,,,,,"/m/t/mt12-blue_back.jpg,/m/t/mt12-blue_main.jpg",",",,,,,,,,,,
MT12-S-Blue,,Top,simple,Default Category/Men/Tops/Tanks,base,Cassius Sparring Tank-S-Blue,"<p>Whether you're up against a partner or the clock, the Cassius Sparring Tank is in your corner, moving effortless with your body. The light and loose feel gives you no reason to give up before the bell or the end of the block.</p>
<p>&bull; Royal crewneck cotton tank.<br />&bull; Contrast stitching.<br />&bull; Self fabric binding at neckline.<br />&bull; Slim fit.<br />&bull; 96% Merino / 4% LYCRA&reg;.</p>",,1,1,Taxable Goods,Not Visible Individually,18,,,,cassius-sparring-tank-s-blue,,,,/m/t/mt12-blue_main.jpg,,/m/t/mt12-blue_main.jpg,,/m/t/mt12-blue_main.jpg,,,,"10/21/16, 9:10 AM","10/21/16, 9:10 AM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Blue,size=S",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,0,1,,,,,,,"/m/t/mt12-blue_back.jpg,/m/t/mt12-blue_main.jpg",",",,,,,,,,,,
MT12-M-Blue,,Top,simple,Default Category/Men/Tops/Tanks,base,Cassius Sparring Tank-M-Blue,"<p>Whether you're up against a partner or the clock, the Cassius Sparring Tank is in your corner, moving effortless with your body. The light and loose feel gives you no reason to give up before the bell or the end of the block.</p>
<p>&bull; Royal crewneck cotton tank.<br />&bull; Contrast stitching.<br />&bull; Self fabric binding at neckline.<br />&bull; Slim fit.<br />&bull; 96% Merino / 4% LYCRA&reg;.</p>",,1,1,Taxable Goods,Not Visible Individually,18,,,,cassius-sparring-tank-m-blue,,,,/m/t/mt12-blue_main.jpg,,/m/t/mt12-blue_main.jpg,,/m/t/mt12-blue_main.jpg,,,,"10/21/16, 9:10 AM","10/21/16, 9:10 AM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Blue,size=M",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,0,1,,,,,,,"/m/t/mt12-blue_back.jpg,/m/t/mt12-blue_main.jpg",",",,,,,,,,,,
MT12-L-Blue,,Top,simple,Default Category/Men/Tops/Tanks,base,Cassius Sparring Tank-L-Blue,"<p>Whether you're up against a partner or the clock, the Cassius Sparring Tank is in your corner, moving effortless with your body. The light and loose feel gives you no reason to give up before the bell or the end of the block.</p>
<p>&bull; Royal crewneck cotton tank.<br />&bull; Contrast stitching.<br />&bull; Self fabric binding at neckline.<br />&bull; Slim fit.<br />&bull; 96% Merino / 4% LYCRA&reg;.</p>",,1,1,Taxable Goods,Not Visible Individually,18,,,,cassius-sparring-tank-l-blue,,,,/m/t/mt12-blue_main.jpg,,/m/t/mt12-blue_main.jpg,,/m/t/mt12-blue_main.jpg,,,,"10/21/16, 9:10 AM","10/21/16, 9:10 AM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Blue,size=L",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,0,1,,,,,,,"/m/t/mt12-blue_back.jpg,/m/t/mt12-blue_main.jpg",",",,,,,,,,,,
MT12-XL-Blue,,Top,simple,Default Category/Men/Tops/Tanks,base,Cassius Sparring Tank-XL-Blue,"<p>Whether you're up against a partner or the clock, the Cassius Sparring Tank is in your corner, moving effortless with your body. The light and loose feel gives you no reason to give up before the bell or the end of the block.</p>
<p>&bull; Royal crewneck cotton tank.<br />&bull; Contrast stitching.<br />&bull; Self fabric binding at neckline.<br />&bull; Slim fit.<br />&bull; 96% Merino / 4% LYCRA&reg;.</p>",,1,1,Taxable Goods,Not Visible Individually,18,,,,cassius-sparring-tank-xl-blue,,,,/m/t/mt12-blue_main.jpg,,/m/t/mt12-blue_main.jpg,,/m/t/mt12-blue_main.jpg,,,,"10/21/16, 9:10 AM","10/21/16, 9:10 AM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Blue,size=XL",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,0,1,,,,,,,"/m/t/mt12-blue_back.jpg,/m/t/mt12-blue_main.jpg",",",,,,,,,,,,
MT12,,Top,configurable,"Default Category/Men/Tops/Tanks,Default Category/Men/Tops/Tees","base,hhat",Cassius Sparring Tank,"<p>Whether you're up against a partner or the clock, the Cassius Sparring Tank is in your corner, moving effortless with your body. The light and loose feel gives you no reason to give up before the bell or the end of the block.</p>
<p>&bull; Royal crewneck cotton tank.<br />&bull; Contrast stitching.<br />&bull; Self fabric binding at neckline.<br />&bull; Slim fit.<br />&bull; 96% Merino / 4% LYCRA&reg;.</p>",,,1,Taxable Goods,"Catalog, Search",18,,,,,,,,/m/t/mt12-blue_main.jpg,,/m/t/mt12-blue_main.jpg,,/m/t/mt12-blue_main.jpg,,,,"10/21/16, 9:10 AM","10/21/16, 9:10 AM",,,Block after Info Column,,,,,,,,,,,Use config,,"climate=All-Weather|Indoor|Warm,eco_collection=No,erin_recommends=No,material=LumaTech&trade;|Polyester,new=No,pattern=Solid,performance_fabric=No,sale=Yes,style_general=Tank",0,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,0,1,,,,,,,"/m/t/mt12-blue_back.jpg,/m/t/mt12-blue_main.jpg",",",,,,,,,,"sku=MT12-XS-Blue,size=XS|sku=MT12-S-Blue,size=S|sku=MT12-M-Blue,size=M|sku=MT12-L-Blue,size=L|sku=MT12-XL-Blue,size=XL",,
MT12,at,Top,configurable,,,Cassius Sparring Tank (at),"<p>Whether you're up against a partner or the clock, the Cassius Sparring Tank is in your corner, moving effortless with your body. The light and loose feel gives you no reason to give up before the bell or the end of the block.</p>
<p>&bull; Royal crewneck cotton tank.<br />&bull; Contrast stitching.<br />&bull; Self fabric binding at neckline.<br />&bull; Slim fit.<br />&bull; 96% Merino / 4% LYCRA&reg;.</p>",,,1,Taxable Goods,"Catalog, Search",18,,,,,,,,/m/t/mt12-blue_main.jpg,,/m/t/mt12-blue_main.jpg,,/m/t/mt12-blue_main.jpg,,,,"10/21/16, 9:10 AM","10/21/16, 9:10 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,0,1,,,,,,,"/m/t/mt12-blue_back.jpg,/m/t/mt12-blue_main.jpg",",",,,,,,,,"sku=MT12-XS-Blue,size=XS|sku=MT12-S-Blue,size=S|sku=MT12-M-Blue,size=M|sku=MT12-L-Blue,size=L|sku=MT12-XL-Blue,size=XL",,
