sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
MS06-XS-Blue,,Top,simple,Default Category/Men/Tops/Tees,base,Zoltan Gym Tee-XS-Blue,"<p>This short-sleeve wonder works twice as hard to give you good gym days and good looks. The Zoltan Gym Tee helps you stay comfortable, while the looser sleeves and flatlock seams keep you moving in chafe-free comfort.</p>
<p>&bull; Relaxed fit. <br />&bull; Crew neckline. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,29,,,,zoltan-gym-tee-xs-blue,,,,/m/s/ms06-blue_main.jpg,,/m/s/ms06-blue_main.jpg,,/m/s/ms06-blue_main.jpg,,,,"10/24/16, 12:36 PM","10/24/16, 12:36 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Blue,size=XS",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,"/m/s/ms06-blue_alt1.jpg,/m/s/ms06-blue_back.jpg,/m/s/ms06-blue_main.jpg",",,",,,,,,,,,,
MS06-XS-Green,,Top,simple,Default Category/Men/Tops/Tees,base,Zoltan Gym Tee-XS-Green,"<p>This short-sleeve wonder works twice as hard to give you good gym days and good looks. The Zoltan Gym Tee helps you stay comfortable, while the looser sleeves and flatlock seams keep you moving in chafe-free comfort.</p>
<p>&bull; Relaxed fit. <br />&bull; Crew neckline. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,29,,,,zoltan-gym-tee-xs-green,,,,/m/s/ms06-green_main.jpg,,/m/s/ms06-green_main.jpg,,/m/s/ms06-green_main.jpg,,,,"10/24/16, 12:36 PM","10/24/16, 12:36 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Green,size=XS",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/m/s/ms06-green_main.jpg,,,,,,,,,,,
MS06-XS-Yellow,,Top,simple,Default Category/Men/Tops/Tees,base,Zoltan Gym Tee-XS-Yellow,"<p>This short-sleeve wonder works twice as hard to give you good gym days and good looks. The Zoltan Gym Tee helps you stay comfortable, while the looser sleeves and flatlock seams keep you moving in chafe-free comfort.</p>
<p>&bull; Relaxed fit. <br />&bull; Crew neckline. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,29,,,,zoltan-gym-tee-xs-yellow,,,,/m/s/ms06-yellow_main.jpg,,/m/s/ms06-yellow_main.jpg,,/m/s/ms06-yellow_main.jpg,,,,"10/24/16, 12:36 PM","10/24/16, 12:36 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Yellow,size=XS",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/m/s/ms06-yellow_main.jpg,,,,,,,,,,,
MS06-S-Blue,,Top,simple,Default Category/Men/Tops/Tees,base,Zoltan Gym Tee-S-Blue,"<p>This short-sleeve wonder works twice as hard to give you good gym days and good looks. The Zoltan Gym Tee helps you stay comfortable, while the looser sleeves and flatlock seams keep you moving in chafe-free comfort.</p>
<p>&bull; Relaxed fit. <br />&bull; Crew neckline. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,29,,,,zoltan-gym-tee-s-blue,,,,/m/s/ms06-blue_main.jpg,,/m/s/ms06-blue_main.jpg,,/m/s/ms06-blue_main.jpg,,,,"10/24/16, 12:36 PM","10/24/16, 12:36 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Blue,size=S",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,"/m/s/ms06-blue_alt1.jpg,/m/s/ms06-blue_back.jpg,/m/s/ms06-blue_main.jpg",",,",,,,,,,,,,
MS06-S-Green,,Top,simple,Default Category/Men/Tops/Tees,base,Zoltan Gym Tee-S-Green,"<p>This short-sleeve wonder works twice as hard to give you good gym days and good looks. The Zoltan Gym Tee helps you stay comfortable, while the looser sleeves and flatlock seams keep you moving in chafe-free comfort.</p>
<p>&bull; Relaxed fit. <br />&bull; Crew neckline. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,29,,,,zoltan-gym-tee-s-green,,,,/m/s/ms06-green_main.jpg,,/m/s/ms06-green_main.jpg,,/m/s/ms06-green_main.jpg,,,,"10/24/16, 12:36 PM","10/24/16, 12:36 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Green,size=S",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/m/s/ms06-green_main.jpg,,,,,,,,,,,
MS06-S-Yellow,,Top,simple,Default Category/Men/Tops/Tees,base,Zoltan Gym Tee-S-Yellow,"<p>This short-sleeve wonder works twice as hard to give you good gym days and good looks. The Zoltan Gym Tee helps you stay comfortable, while the looser sleeves and flatlock seams keep you moving in chafe-free comfort.</p>
<p>&bull; Relaxed fit. <br />&bull; Crew neckline. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,29,,,,zoltan-gym-tee-s-yellow,,,,/m/s/ms06-yellow_main.jpg,,/m/s/ms06-yellow_main.jpg,,/m/s/ms06-yellow_main.jpg,,,,"10/24/16, 12:36 PM","10/24/16, 12:36 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Yellow,size=S",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/m/s/ms06-yellow_main.jpg,,,,,,,,,,,
MS06-M-Blue,,Top,simple,Default Category/Men/Tops/Tees,base,Zoltan Gym Tee-M-Blue,"<p>This short-sleeve wonder works twice as hard to give you good gym days and good looks. The Zoltan Gym Tee helps you stay comfortable, while the looser sleeves and flatlock seams keep you moving in chafe-free comfort.</p>
<p>&bull; Relaxed fit. <br />&bull; Crew neckline. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,29,,,,zoltan-gym-tee-m-blue,,,,/m/s/ms06-blue_main.jpg,,/m/s/ms06-blue_main.jpg,,/m/s/ms06-blue_main.jpg,,,,"10/24/16, 12:36 PM","10/24/16, 12:36 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Blue,size=M",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,"/m/s/ms06-blue_alt1.jpg,/m/s/ms06-blue_back.jpg,/m/s/ms06-blue_main.jpg",",,",,,,,,,,,,
MS06-M-Green,,Top,simple,Default Category/Men/Tops/Tees,base,Zoltan Gym Tee-M-Green,"<p>This short-sleeve wonder works twice as hard to give you good gym days and good looks. The Zoltan Gym Tee helps you stay comfortable, while the looser sleeves and flatlock seams keep you moving in chafe-free comfort.</p>
<p>&bull; Relaxed fit. <br />&bull; Crew neckline. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,29,,,,zoltan-gym-tee-m-green,,,,/m/s/ms06-green_main.jpg,,/m/s/ms06-green_main.jpg,,/m/s/ms06-green_main.jpg,,,,"10/24/16, 12:36 PM","10/24/16, 12:36 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Green,size=M",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/m/s/ms06-green_main.jpg,,,,,,,,,,,
MS06-M-Yellow,,Top,simple,Default Category/Men/Tops/Tees,base,Zoltan Gym Tee-M-Yellow,"<p>This short-sleeve wonder works twice as hard to give you good gym days and good looks. The Zoltan Gym Tee helps you stay comfortable, while the looser sleeves and flatlock seams keep you moving in chafe-free comfort.</p>
<p>&bull; Relaxed fit. <br />&bull; Crew neckline. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,29,,,,zoltan-gym-tee-m-yellow,,,,/m/s/ms06-yellow_main.jpg,,/m/s/ms06-yellow_main.jpg,,/m/s/ms06-yellow_main.jpg,,,,"10/24/16, 12:36 PM","10/24/16, 12:36 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Yellow,size=M",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/m/s/ms06-yellow_main.jpg,,,,,,,,,,,
MS06-L-Blue,,Top,simple,Default Category/Men/Tops/Tees,base,Zoltan Gym Tee-L-Blue,"<p>This short-sleeve wonder works twice as hard to give you good gym days and good looks. The Zoltan Gym Tee helps you stay comfortable, while the looser sleeves and flatlock seams keep you moving in chafe-free comfort.</p>
<p>&bull; Relaxed fit. <br />&bull; Crew neckline. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,29,,,,zoltan-gym-tee-l-blue,,,,/m/s/ms06-blue_main.jpg,,/m/s/ms06-blue_main.jpg,,/m/s/ms06-blue_main.jpg,,,,"10/24/16, 12:36 PM","10/24/16, 12:36 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Blue,size=L",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,"/m/s/ms06-blue_alt1.jpg,/m/s/ms06-blue_back.jpg,/m/s/ms06-blue_main.jpg",",,",,,,,,,,,,
