sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
WB02-XS-Orange,,Top,simple,Default Category/Women/Tops/Bras & Tanks,base,Erica Evercool Sports Bra-XS-Orange,"<p>Perfect for medium-impact workouts, our Erica EverCool&trade; Sports Bra brings a brilliant combo of comfort and style. Moisture-wicking technology keeps you dry, and the flattering hybrid racerback promises an unbeatable range of motion.</p>
<p>&bull; Honeycomb light blue bra top.<br />&bull; Elastic hem.<br />&bull; Reinforced binding. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,39,,,,erica-evercool-sports-bra-xs-orange,,,,/w/b/wb02-orange_main.jpg,,/w/b/wb02-orange_main.jpg,,/w/b/wb02-orange_main.jpg,,,,"10/24/16, 12:37 PM","10/24/16, 12:37 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Orange,size=XS",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/w/b/wb02-orange_main.jpg,,,,,,,,,,,
WB02-XS-Yellow,,Top,simple,Default Category/Women/Tops/Bras & Tanks,base,Erica Evercool Sports Bra-XS-Yellow,"<p>Perfect for medium-impact workouts, our Erica EverCool&trade; Sports Bra brings a brilliant combo of comfort and style. Moisture-wicking technology keeps you dry, and the flattering hybrid racerback promises an unbeatable range of motion.</p>
<p>&bull; Honeycomb light blue bra top.<br />&bull; Elastic hem.<br />&bull; Reinforced binding. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,39,,,,erica-evercool-sports-bra-xs-yellow,,,,/w/b/wb02-yellow_main.jpg,,/w/b/wb02-yellow_main.jpg,,/w/b/wb02-yellow_main.jpg,,,,"10/24/16, 12:37 PM","10/24/16, 12:37 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Yellow,size=XS",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/w/b/wb02-yellow_main.jpg,,,,,,,,,,,
WB02-S-Blue,,Top,simple,Default Category/Women/Tops/Bras & Tanks,base,Erica Evercool Sports Bra-S-Blue,"<p>Perfect for medium-impact workouts, our Erica EverCool&trade; Sports Bra brings a brilliant combo of comfort and style. Moisture-wicking technology keeps you dry, and the flattering hybrid racerback promises an unbeatable range of motion.</p>
<p>&bull; Honeycomb light blue bra top.<br />&bull; Elastic hem.<br />&bull; Reinforced binding. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,39,,,,erica-evercool-sports-bra-s-blue,,,,/w/b/wb02-blue_main.jpg,,/w/b/wb02-blue_main.jpg,,/w/b/wb02-blue_main.jpg,,,,"10/24/16, 12:37 PM","10/24/16, 12:37 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Blue,size=S",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,"/w/b/wb02-blue_alt1.jpg,/w/b/wb02-blue_back.jpg,/w/b/wb02-blue_main.jpg",",,",,,,,,,,,,
WB02-S-Orange,,Top,simple,Default Category/Women/Tops/Bras & Tanks,base,Erica Evercool Sports Bra-S-Orange,"<p>Perfect for medium-impact workouts, our Erica EverCool&trade; Sports Bra brings a brilliant combo of comfort and style. Moisture-wicking technology keeps you dry, and the flattering hybrid racerback promises an unbeatable range of motion.</p>
<p>&bull; Honeycomb light blue bra top.<br />&bull; Elastic hem.<br />&bull; Reinforced binding. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,39,,,,erica-evercool-sports-bra-s-orange,,,,/w/b/wb02-orange_main.jpg,,/w/b/wb02-orange_main.jpg,,/w/b/wb02-orange_main.jpg,,,,"10/24/16, 12:37 PM","10/24/16, 12:37 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Orange,size=S",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/w/b/wb02-orange_main.jpg,,,,,,,,,,,
WB02-S-Yellow,,Top,simple,Default Category/Women/Tops/Bras & Tanks,base,Erica Evercool Sports Bra-S-Yellow,"<p>Perfect for medium-impact workouts, our Erica EverCool&trade; Sports Bra brings a brilliant combo of comfort and style. Moisture-wicking technology keeps you dry, and the flattering hybrid racerback promises an unbeatable range of motion.</p>
<p>&bull; Honeycomb light blue bra top.<br />&bull; Elastic hem.<br />&bull; Reinforced binding. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,39,,,,erica-evercool-sports-bra-s-yellow,,,,/w/b/wb02-yellow_main.jpg,,/w/b/wb02-yellow_main.jpg,,/w/b/wb02-yellow_main.jpg,,,,"10/24/16, 12:37 PM","10/24/16, 12:37 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Yellow,size=S",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/w/b/wb02-yellow_main.jpg,,,,,,,,,,,
WB02-M-Blue,,Top,simple,Default Category/Women/Tops/Bras & Tanks,base,Erica Evercool Sports Bra-M-Blue,"<p>Perfect for medium-impact workouts, our Erica EverCool&trade; Sports Bra brings a brilliant combo of comfort and style. Moisture-wicking technology keeps you dry, and the flattering hybrid racerback promises an unbeatable range of motion.</p>
<p>&bull; Honeycomb light blue bra top.<br />&bull; Elastic hem.<br />&bull; Reinforced binding. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,39,,,,erica-evercool-sports-bra-m-blue,,,,/w/b/wb02-blue_main.jpg,,/w/b/wb02-blue_main.jpg,,/w/b/wb02-blue_main.jpg,,,,"10/24/16, 12:37 PM","10/24/16, 12:37 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Blue,size=M",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,"/w/b/wb02-blue_alt1.jpg,/w/b/wb02-blue_back.jpg,/w/b/wb02-blue_main.jpg",",,",,,,,,,,,,
WB02-M-Orange,,Top,simple,Default Category/Women/Tops/Bras & Tanks,base,Erica Evercool Sports Bra-M-Orange,"<p>Perfect for medium-impact workouts, our Erica EverCool&trade; Sports Bra brings a brilliant combo of comfort and style. Moisture-wicking technology keeps you dry, and the flattering hybrid racerback promises an unbeatable range of motion.</p>
<p>&bull; Honeycomb light blue bra top.<br />&bull; Elastic hem.<br />&bull; Reinforced binding. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,39,,,,erica-evercool-sports-bra-m-orange,,,,/w/b/wb02-orange_main.jpg,,/w/b/wb02-orange_main.jpg,,/w/b/wb02-orange_main.jpg,,,,"10/24/16, 12:37 PM","10/24/16, 12:37 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Orange,size=M",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/w/b/wb02-orange_main.jpg,,,,,,,,,,,
WB02-M-Yellow,,Top,simple,Default Category/Women/Tops/Bras & Tanks,base,Erica Evercool Sports Bra-M-Yellow,"<p>Perfect for medium-impact workouts, our Erica EverCool&trade; Sports Bra brings a brilliant combo of comfort and style. Moisture-wicking technology keeps you dry, and the flattering hybrid racerback promises an unbeatable range of motion.</p>
<p>&bull; Honeycomb light blue bra top.<br />&bull; Elastic hem.<br />&bull; Reinforced binding. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,39,,,,erica-evercool-sports-bra-m-yellow,,,,/w/b/wb02-yellow_main.jpg,,/w/b/wb02-yellow_main.jpg,,/w/b/wb02-yellow_main.jpg,,,,"10/24/16, 12:37 PM","10/24/16, 12:37 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Yellow,size=M",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/w/b/wb02-yellow_main.jpg,,,,,,,,,,,
WB02-L-Blue,,Top,simple,Default Category/Women/Tops/Bras & Tanks,base,Erica Evercool Sports Bra-L-Blue,"<p>Perfect for medium-impact workouts, our Erica EverCool&trade; Sports Bra brings a brilliant combo of comfort and style. Moisture-wicking technology keeps you dry, and the flattering hybrid racerback promises an unbeatable range of motion.</p>
<p>&bull; Honeycomb light blue bra top.<br />&bull; Elastic hem.<br />&bull; Reinforced binding. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,39,,,,erica-evercool-sports-bra-l-blue,,,,/w/b/wb02-blue_main.jpg,,/w/b/wb02-blue_main.jpg,,/w/b/wb02-blue_main.jpg,,,,"10/24/16, 12:37 PM","10/24/16, 12:37 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Blue,size=L",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,"/w/b/wb02-blue_alt1.jpg,/w/b/wb02-blue_back.jpg,/w/b/wb02-blue_main.jpg",",,",,,,,,,,,,
WB02-L-Orange,,Top,simple,Default Category/Women/Tops/Bras & Tanks,base,Erica Evercool Sports Bra-L-Orange,"<p>Perfect for medium-impact workouts, our Erica EverCool&trade; Sports Bra brings a brilliant combo of comfort and style. Moisture-wicking technology keeps you dry, and the flattering hybrid racerback promises an unbeatable range of motion.</p>
<p>&bull; Honeycomb light blue bra top.<br />&bull; Elastic hem.<br />&bull; Reinforced binding. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,39,,,,erica-evercool-sports-bra-l-orange,,,,/w/b/wb02-orange_main.jpg,,/w/b/wb02-orange_main.jpg,,/w/b/wb02-orange_main.jpg,,,,"10/24/16, 12:37 PM","10/24/16, 12:37 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Orange,size=L",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/w/b/wb02-orange_main.jpg,,,,,,,,,,,
